id;title;body;department;sentiment
1;Camera impeccabile, soggiorno perfetto;La pulizia camera era davvero eccellente: lenzuola fresche ogni giorno e bagno sempre in ordine. Il personale di housekeeping si è dimostrato discreto e professionale.;Housekeeping;positive
2;Chekin velocissimo;Pur essendo arrivati tardi lla sera ,venimmo accolti con grande efficienza dai ragazzi presenti al momento.Il chekin e' durato pochissimo.;Reception;positive
3;Colazione abbondante e varia;Ogni mattina il buffet della colazione offre una selezione incredibile di prodotti freschi. Il ristorante è curato e il personale F&B è sempre sorridente.;F&B;positive
4;CAMERA MAI PULITA!!;Tre giorni di fila e la pulizia camera NON È STATA EFFETTUATA. Asciugamani sul pavimento, cestino pieno... INACCETTABILE per un hotel di questa categoria!!!;Housekeeping;negative
5;Problemi seri al check-out;Durante il check-out ci hanno addebitato servizi mai richiesti. Ho dovuto aspettare quaranta minuti per la correzione della fattura. Esperienza frustrante.;Reception;negative
6;Ristoante sotto ogni aspettativa;La cena al ristorante dell'hotel fu deludente: piatti freddi, porzioni minime e tempi di attesa esagerati. La colazione del giorno successivo non andò meglio. Agiungo che il personale al momento del servizio era molto distratto;F&B;negative
7;Housekeeping ECCELLENTE!!;Non avevo mai trovato una pulizia camera così accurata! #puliziaimpeccabile Ogni angolo era curato, i sanitari brillavano. COMPLIMENTI al reparto pulizie!!!;Housekeeping;positive
8;Receptionist gentilissima;Oggi il personale alla reception mi ha aiutato a organizzare un tour della città con grande disponibilità. Il check-in è stato rapido e piacevole.;Reception;positive
9;Colazione: che delusione...;La colazione era fredda e i prodotti da forno sembravano del giorno prima. Il ristorante poi aveva un odore strano... *PESSIMO* per il prezzo pagato.;F&B;negative
10;Soggiorno rovinato dallo sporco;Arrivammo in camera e trovammo i capelli del precedente ospite nella doccia. La pulizia camera era chiaramente stata fatta in fretta. Non torneremo.;Housekeeping;negative
11;Check-out rapido e senza stress;Il personale della reception ha gestito il check-out in modo impeccabile. Hanno anche chiamato il taxi per noi senza che lo chiedessimo. Servizio di alto livello.;Reception;positive
12;Buffet della colazione TOP;Stamattina ho fatto una colazione fantastica: frutta fresca, uova strapazzate calde, yogurt artigianale. Il ristorante merita davvero ogni elogio.;F&B;positive
13;Vamera non riassettata x 2gg!!;Ma stiamo scherzando??!!! La pulizia camera non è stata fatta per DUE GIORNI consecutivi!! Ho chiamato la ricetionist ma non è cambiato niente. #serviziozero $$$sprecati;Housekeeping;negative
14;Ottimo check-in, notte tranquilla;L'anno scorso in questo stesso hotel il check-in era lento e confuso. Quest'anno invece tutto è filato liscio: la reception ci ha assegnato la camera in pochi minuti.;Reception;positive
15;Cibo buono ma cameriere sgarbato;La qualità del cibo al ristorante era sorprendentemente buona, ma il servizio F&B lasciava molto a desiderare. Il cameriere sembrava infastidito da ogni nostra richiesta.;F&B;negative
16;FANTASTICO il servizio pulizie!!;Non me lo aspettavo a questo prezzo: la pulizia camera era PERFETTA ogni giorno, con piccoli origami di asciugamani sul letto. Esperienza da 5 stelle!!! #housekeepinggoals;Housekeeping;positive
17;Receptionist@hotel scortese;Qual'è il senso di avere una reception aperta 24h se il personale è maleducato?? Il check-in è durato 25 minuti per un ERRORE loro. Assurdo!!;Reception;negative
